Participant,Average_RT,Unusual Experiences,Cognitive Disorganisation,Introvertive Anhedonia,Impulsive Nonconformity,O-Life,Confidence
participant2_rt,2.9593255,3,3,4,1,11,9.8
participant4_rt,0.836831,3,3,1,2,9,7.2
participant8_rt,0.77478,7,7,4,7,25,7.8
participant10_rt,0.648728,4,8,6,0,18,9.2
participant12_rt,0.3897125,4,5,6,2,17,8
participant14_rt,0.7571435,5,5,4,4,18,9.8
participant16_rt,0.5512165,7,10,1,3,21,8.6
participant18_rt,0.2081605,4,4,3,4,15,8.9
participant20_rt,0.578216,4,3,0,1,8,10
participant21_rt,0.934158,5,11,7,9,32,9.6