ID,Confidence ,Confidence rt,Trial,Trial response ,Trial rt
D03,7,14.1122632,T1,"['space', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'right', 'right', 'left', 'space', 'left', 'right']","[3.883296699999846, 8.245327800001178, 14.321976000001087, 20.010598000000755, 26.114224500001, 32.54187140000067, 38.19145430000026, 44.15983969999979, 50.33490340000026, 56.141222899999775, 62.50119740000082, 68.91314560000137, 75.49022990000049, 80.00486749999982, 86.69575740000073, 92.39692020000075, 98.40439570000126, 105.9716096000011, 110.30816770000092, 116.14814490000026]"
D03,8,12.4210609,T2,"['space', 'space', 'right', 'left', 'right', 'right', 'space', 'right', 'right', 'right', 'space', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'right', 'left']","[3.795882000000347, 8.924796600000263, 14.03360369999973, 20.157705700001316, 25.966802900000403, 31.970219000000725, 38.707333300000755, 44.154697199999646, 50.16994440000053, 56.29281140000057, 63.15993560000061, 68.18011389999992, 74.45946980000008, 80.18523389999973, 86.3677762999996, 92.19523000000117, 98.07900320000044, 104.30010500000026, 110.14644829999997, 116.40398770000138]"
D03,None,None,T3,"['space', 'left', 'space', 'right', 'left', 'right', 'space', 'left', 'left', 'right', 'left', 'right', 'left', 'left', 'right', 'right', 'left', 'space', 'right', 'right']","[2.563905499999237, 8.454951899999287, 14.853026999999202, 20.332869500000015, 26.23605580000003, 32.982345299999, 38.82078399999955, 44.4501108000004, 50.45757769999909, 56.670081799999025, 63.26839879999898, 68.48325349999868, 74.29166619999887, 80.31875649999893, 86.06526499999927, 92.30273409999973, 98.38597909999953, 105.25690679999934, 110.32862279999972, 116.5056482]"
D03,7,7.9168402,T4,"['space', 'left', 'left', 'left', 'right', 'left', 'right', 'left', 'left', 'left', 'left', 'right', 'left', 'right', 'right', 'right', 'left', 'left', 'right', 'left', 'right']","[2.7797649999993155, 8.356098100000963, 14.265522800000326, 20.47479369999928, 26.400981200000388, 32.35397720000037, 38.508581899999626, 44.60590450000018, 50.40872880000097, 56.32816970000022, 62.13404240000091, 68.27379690000089, 74.50149460000102, 80.39026120000017, 85.60389919999943, 86.75369350000074, 92.83850480000001, 98.6261312000006, 104.6514103999998, 110.33842200000072, 116.43847909999931]"
D03,7,12.4968021,T5,"['space', 'space', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'left', 'left', 'right', 'space', 'right', 'left']","[2.8261829000002763, 8.518534800001362, 14.78534110000146, 21.020433000001503, 26.230525300001318, 32.43038230000093, 38.1532229000004, 44.057754400000704, 50.40056030000051, 56.30987020000066, 62.84671380000145, 68.12324780000017, 74.84858400000121, 80.43950089999998, 86.3674514000013, 92.4105578000017, 98.64475360000142, 104.8397416000007, 110.06539670000166, 116.173874600001]"
D03,None,None,T6,"['space', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'left', 'left', 'right', 'left', 'left', 'space', 'left', 'right', 'right', 'left']","[2.4850109000017255, 8.365873300001113, 14.302123200001006, 20.32063720000042, 26.217802900000606, 32.69798250000167, 38.39308350000101, 44.63117140000031, 50.33674350000001, 56.07675870000094, 63.93480680000175, 68.28516290000152, 74.71074570000019, 80.28041920000032, 86.45178440000018, 92.80999500000144, 99.40499590000036, 104.11944830000175, 109.2982260000008, 110.86522380000133, 116.19230490000155]"
D03,None,None,T7,"['space', 'space', 'left', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'space', 'right', 'left', 'right', 'left', 'left', 'space']","[3.1487247999993997, 9.095721899999262, 14.239871499999936, 21.147344499999235, 25.16740749999917, 27.313112300000284, 32.098528700000315, 38.079454499998974, 44.07502629999908, 50.335685199999716, 56.32484879999902, 62.15329079999901, 69.16920579999896, 74.29185639999923, 81.29971130000013, 86.38264069999968, 92.08150380000006, 98.72540349999872, 104.08926079999947, 110.04728760000035, 117.8238308]"
D03,7,9.2865424,T8,"['space', 'space', 'space', 'left', 'left', 'left', 'space', 'left', 'left', 'space', 'space', 'left', 'space', 'left', 'left', 'right', 'right', 'left', 'right', 'right', 'left', 'left']","[2.5129567999993014, 2.810509599999932, 2.8509417999994184, 9.143488300000172, 14.355290699999387, 20.227093499999683, 27.126829500000895, 32.27934920000007, 38.07730620000075, 45.35982399999921, 50.90954699999929, 56.05482570000095, 63.65517, 68.30065119999927, 74.22003270000096, 80.63679090000005, 86.56476180000027, 92.24535950000063, 98.1961424000001, 104.08465120000074, 110.11061689999951, 116.07559860000038]"
D03,8,7.0999918,T9,"['space', 'right', 'right', 'right', 'left', 'right', 'left', 'right', 'right', 'right', 'right', 'right', 'left', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'left']","[2.5756129000001238, 8.608061599999928, 14.983981600000334, 20.13404029999947, 26.130910399999266, 32.00075610000022, 38.08114609999939, 44.112440299999435, 45.928320499999245, 50.41367170000012, 56.134633400000894, 62.02802300000076, 68.41324429999986, 74.44350239999949, 80.45741289999933, 86.37882250000075, 92.21992879999925, 98.55521939999926, 104.08358770000086, 110.51597439999932, 116.40943719999996]"
D03,None,None,T10,"['space', 'space', 'space', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left']","[1.4978136000008817, 2.912959700001011, 9.242242400001487, 14.741405000000668, 20.650472200000877, 26.2840081000013, 32.79986740000095, 38.79777880000074, 44.865939600000274, 50.88859450000018, 56.247019000000364, 62.11879150000095, 68.47747990000062, 74.30960650000088, 80.93247500000143, 86.96731189999991, 92.3035531000005, 97.48734910000167, 99.04150550000122, 104.60829040000135, 110.8826947000016, 116.7361972000017]"